index,repo_id,repo_name,total_commits,total_stars,total_forks,creation_date,total_contributors
0,42757577,altair,3067,6816,613,2015-09-19 03:14:04,117
0,3834332,bokeh,19165,15353,3753,2012-03-26 15:40:01,399
0,149135719,chartify,195,2948,263,2018-09-17 14:12:05,15
0,25441251,diagram,65,392,19,2014-10-19 21:45:37,7
0,13384593,ggpy,256,3614,584,2013-10-07 13:30:53,13
0,23520171,glumpy,848,958,155,2014-08-31 18:30:26,48
0,19542768,holoviews,10227,1949,324,2014-05-07 16:59:22,102
0,1288547,mayavi,3072,899,248,2011-01-24 17:48:00,54
0,1385122,matplotlib,39859,13991,5948,2011-02-19 03:17:12,423
0,54834492,missingno,180,2840,369,2016-03-27 15:18:50,15
0,14579099,plotly.py,5153,9928,1858,2013-11-21 05:53:08,161
0,12777496,pyqtgraph,2964,2488,863,2013-09-12 07:18:21,176
0,92974124,pyvista,2300,879,173,2017-05-31 18:01:42,57
0,4704710,seaborn,2785,8619,1457,2012-06-18 18:41:19,137
0,18925814,toyplot,1698,392,33,2014-04-18 21:13:25,6
0,179490554,three.py,54,75,11,2019-04-04 12:11:59,3
0,1324413,veusz,3428,475,85,2011-02-03 15:13:28,30
0,8935948,vispy,6854,2696,567,2013-03-21 18:43:22,128
